full_text,sentiment,created_at,tweet_id
"So if #Republicans are all MAGA and following Trump wanted and it was Republicans who mostly didn't want the vaccine, is that really true?

#trump #maga #wednesdaythought #WednesdayMotivation #Covid_19 #COVID #vaccines",0.24114329,2022-04-05 22:48:06,1511475794886938627
"Everyone who calls us #Libertards and crazy and every other slur (read people who love #Trump etc) should be thanking us for having such woke high tolerance of their racism, bigotry, misogyny and overall stupidity.",0.13546455,2022-04-05 22:48:15,1511475833319346179
"Imagine if #Trump got unbanned under one condition:

Every word he uses
that is polarizing or trending 
becomes ""bonk"" after tweeting.

@BillyM2k @elonmusk @Twitter @lexfridman 

@Twitter #Twitter https://t.co/n7jG5HEPCC",0.30923557,2022-04-05 22:48:21,1511475860284526594
"@SteveRustad1 Oh, Steve🤦🏽‍♀️

Did you feel the same way when @HillaryClinton spied on candidate #Trump and even when he’s already @potus🤨

Do you feel the same way with #HunterBiden’s #TheBigGuy @JoeBiden🧐

If not…then 🤐",0.36346242,2022-04-05 22:48:41,1511475944879439873
"Justice department has been infiltrated by GOP crime family for 40 years
Most gov departments now dance to instructions from outside GOP control",0.2699383,2022-04-05 22:48:43,1511475953674829828
Kenny Ray Powell Actor DEEP VOICE WARDEN TALKING (((((MUSTWATCH))))))Dea... https://t.co/59xaExQhO6 via @YouTube #ChrisRock #HISVOICE #Ezra #DREAMSTAGE #DenzelWashington #TREASURE #Trump #opensea #PremiumMusic2022 #GRAMMYs #GrammyAwards #WHEREARETHEY #India #WillAndChris #ad #ADA https://t.co/bn9t7CE9Fy,0.62076724,2022-04-05 22:48:49,1511475977276182529
#covid #trump #wtf had a nightmare went on a date with trump at his house the guard dog which was a greyhound attacked me as i was leaving i ran back into the house and found him arguing with his wife lol wtf this positive covid send you loopy,0.30154592,2022-04-05 22:48:58,1511476014202843138
"PAUSE EXTENDED: The #Biden administration plans to freeze federal student loan payments through Aug. 31, extending a moratorium that has allowed millions of Americans to postpone payments during the coronavirus pandemic.
MORE: https://t.co/8KXrkHiCVt https://t.co/h39K7VlcnF",0.35349083,2022-04-05 22:49:08,1511476055235874816
I will do beautiful logo design https://t.co/aa0xI4z88d #BTSARMY #suga #jennie #President #Obama #Ivanka #Trump #BusinessProposal #TwentyFiveTwentyOne #Jeffrey #Epstein #Favorite #Music #Group #Another #Trump #trading #VoteBlueToSaveAmerica #SUHOThe #Republican #Party,0.86386836,2022-04-05 22:49:34,1511476167693725697
"#Biden administration have been playing coy with #Iran since the #ViennaTalks started. Now they are playing hard to get when it comes to free #Iranian people from all these harsh #sanctions. But give it time, they are gonna beg for #Iranian oil soon!",0.22614887,2022-04-05 22:50:06,1511476302167093249
"I have exclusive footage of #IvankaTrump being questioned in her deposition today

#Jan6thCommittee #Jan6thInsurrection #Jan6 #GOP #GOPtheRussianPartyofTraitors #GOPHypocrisy #ArrestTrumpNow #Trump #TrumpCrimeFamily #TrumpCoupAttempt #TrumpCrimeFamilyForPrison #FoxNews #CNN https://t.co/HXN7YTmJuR",0.39017412,2022-04-05 22:50:08,1511476306780770307
"@TomiLahren @FoxFriendsFirst Why did #Trump  Department of Justice dismiss anti-nepotism guidelines and precedent to let Jared and Ivanka work in the White House? They said they divested from conflicts of interest but analysis of their financials show they  made $640 million while in WH. 
#ArrestTrumpNow",0.22835594,2022-04-05 22:50:47,1511476473638662153
"In my opinion, biological men competing against women in sports is unfair.  As if that matters to the left.  

https://t.co/IYDsiQm2hO 

#Transgendersinsports #MAGA #Patriot #TitleIX #Trump #Conservative #Republican #Boebert #Marjorietaylorgreene #NCAA #Trump2024 #Newsmax #Fox",0.3105515,2022-04-05 22:51:14,1511476587090399235
It’s hard to believe anything #Biden has to say about the #ukraine war he is the verified most corrupt politician in the history of our country Though we must keep helping the citizens &amp; refugees of #Ukraine who are suffering terribly Don’t believe the #BidenCrimeFamilly #Trump,0.17946827,2022-04-05 22:51:15,1511476587555954688
"#IvankaTrump testified before the #Housecommittee investigating the Jan.6th insurrection.Ivanka was in The #OvalOffice that day and was expected to be questioned about a phone call she allegedly witnessed between #Trump and #Pence. 
#TrumpCrimeFamily
https://t.co/y9sjXmnuzV",0.21941778,2022-04-05 22:51:17,1511476597672407040
"As a Canadian with no in depth knowledge of American politics and also no “horse in the race” as I consider myself generally quite centrist, #Trump seems like he would be handling the current political and economic situations significantly better than #Biden.",0.31966794,2022-04-05 22:51:27,1511476640764727299
"President Joe Biden plans to extend the moratorium on federal student loan payments through Aug.  

#biden #congress #studentloandebt #studentloans https://t.co/tFffjkufUT",0.49065128,2022-04-05 22:51:31,1511476656287932419
"Tuesday News Day!
Sketchworks NewsBrake - the News #stops Here
Allie O'Neill, @TheTimMillard &amp; @Babcock_III bring you #news  from the past week.  Such as #Trump and the 8 hour gap, @KRTV Owl, Strange #Verizon Texts, #Bucees and #spiritairlines 
#Trending 
https://t.co/WWFkLAbMZD",0.7279151,2022-04-05 22:52:15,1511476840619298831
"#BringBackTrump  
🖕🤬🖕 Donald Trump
🖕🤬🖕 All his MAGA cult members
🖕🤬🖕 All the Trump d*ck s*ckers in Congress
🖕🤬🖕 Donald Trump Jr, Eric Trump
🖕🤬🖕 All the 'election was rigged' aholes
🖕🤬🖕 All the self anointed 'Patriots' that are really  traitors 
#Trump #MAGA",0.23444682,2022-04-05 22:52:31,1511476908961132548
"WHY this #Twitter #ElonMusk &amp; #BringBackTrump? BOTH #love #God OR #SafetyFirst but ignore #solution 2 #WarCrimes #HateCrime 

#CATHOLIC #JFK ON #GLOBAL #FASCISM VS. #BIDEN / #MEDIA &amp; #PUTIN #SILENCE WHAT #LAW1OFGOD &amp; #JEWS MEANS
https://t.co/2wfuouXEpR
or
https://t.co/4rAGuQrp35",0.467995,2022-04-05 22:54:09,1511477317599563777
Kenny Ray Powell ACTOR Hallway Scene https://t.co/NRox6Lyamm via @YouTube #ad #ADA #TREASURE #Trump #Laden #Osama #BinLaden #YouMakeStrayKidsStay #trading #TransDayOfVisibility #Trending #TravisJapan #LOVEDIVE #TrumpCoverUp #GRAMMYs #GrammyAwards #GreySuit #cryptotrading #Netflix https://t.co/2CqGajDXwS,0.57273704,2022-04-05 22:54:15,1511477344359178241
"@DemocracyWorker @SusanLynch22 @openpodbaydoor_ @kelly4florida @DanaStarr18 @HickoryFlatG8r @RabbiJill @jkf3500 @DrDenaGrayson @LightfootInHwd @2Texasbears @KendraDrake94 @momsbsm1 @ZEphotographic2 @OGNurseRatchet 😷/ I prefer your new account name #DemocracyWorker to ChurchWorker.
#ResistanceUnited! Stop #Putin and #Trump!
🌊🌊🌊 #StrongerTogether! https://t.co/RdZGIFV9Nx",0.56568366,2022-04-05 22:55:26,1511477642574266369
@GOP Omg are you seriously starting a talking point that makes Obama out to be a liar!! After you MFers elected #Trump that’s fucking hilarious!! I literally spit kale juice on my house I’m renting to own… #millennial #TrumpIsACriminal #TruthSocial #TrumpCrimeFamily,0.34764397,2022-04-05 22:56:03,1511477797994352653
